instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Day_type,year,season_label,weather_label
1,2011-01-01,1,0,1,0.0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Hari Libur,2011,Spring,Baik
2,2011-01-01,1,0,1,1.0,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Hari Libur,2011,Spring,Baik
3,2011-01-01,1,0,1,2.0,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Hari Libur,2011,Spring,Baik
4,2011-01-01,1,0,1,3.0,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Hari Libur,2011,Spring,Baik
5,2011-01-01,1,0,1,4.0,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Hari Libur,2011,Spring,Baik
6,2011-01-01,1,0,1,5.0,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Hari Libur,2011,Spring,Sedang
7,2011-01-01,1,0,1,6.0,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Hari Libur,2011,Spring,Baik
8,2011-01-01,1,0,1,7.0,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Hari Libur,2011,Spring,Baik
9,2011-01-01,1,0,1,8.0,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Hari Libur,2011,Spring,Baik
10,2011-01-01,1,0,1,9.0,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Hari Libur,2011,Spring,Baik
11,2011-01-01,1,0,1,10.0,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Hari Libur,2011,Spring,Baik
12,2011-01-01,1,0,1,11.0,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Hari Libur,2011,Spring,Baik
13,2011-01-01,1,0,1,12.0,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Hari Libur,2011,Spring,Baik
14,2011-01-01,1,0,1,13.0,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Hari Libur,2011,Spring,Sedang
15,2011-01-01,1,0,1,14.0,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Hari Libur,2011,Spring,Sedang
16,2011-01-01,1,0,1,15.0,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Hari Libur,2011,Spring,Sedang
17,2011-01-01,1,0,1,16.0,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Hari Libur,2011,Spring,Sedang
18,2011-01-01,1,0,1,17.0,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Hari Libur,2011,Spring,Sedang
